trade_identity,pivot_at,decision_at,direction,control_outcome,control_r,executed,route,entry_at,entry_price,stop,target,outcome,resolution_at,net_r,exposure_segment
479e1f55d5265958fb1734ed48a18d5d3be9f20c524c9943934f244cedcd6753,2022-02-01T15:00:00Z,2022-02-01T18:00:00Z,SHORT,TARGET,1.9726027397261034,True,INITIAL_CONFIRMATION_TARGET,2022-02-02T05:35:00Z,1797.44,1808.78,1795.76,TARGET,2022-02-02T09:39:00Z,0.14814814814815483,PREVIOUSLY_EXPOSED_FEB_01_16
899df200b19b1985c49d4bf41e5e22b6ac32c28ff1485c72291acc28d3218ac5,2022-02-01T17:00:00Z,2022-02-01T20:00:00Z,LONG,STOP,-1.0,False,NO_TRADE_H1_CLOSE_INVALIDATED,,,,1808.78,,,0.0,PREVIOUSLY_EXPOSED_FEB_01_16
f59c72534dd2d1957afa4fef15ad3bda804168caf1664a5b89e09e7505d53e0e,2022-02-01T18:00:00Z,2022-02-01T21:00:00Z,SHORT,TARGET,0.47033285094066013,True,INITIAL_CONFIRMATION_TARGET,2022-02-01T21:55:00Z,1800.69,1807.95,1797.79,TARGET,2022-02-02T05:17:00Z,0.3994490358126852,PREVIOUSLY_EXPOSED_FEB_01_16
4a92efc6b16011193fd5904f86072e9cef14597e831af66c0acd19e0b1550afe,2022-02-01T22:00:00Z,2022-02-02T04:00:00Z,LONG,STOP,-1.0,False,NO_TRADE_LATER_H1_INVALIDATED,,,,1807.95,,,0.0,PREVIOUSLY_EXPOSED_FEB_01_16
fb6d58e7f51eca2b80c32246320fa2ccf3e00a1b2a4bfbcd363739fd88d33d37,2022-02-02T19:00:00Z,2022-02-02T22:00:00Z,SHORT,TARGET,2.1253822629969674,True,INITIAL_CONFIRMATION_TARGET,2022-02-02T22:05:00Z,1807.39,1810.79,1800.57,TARGET,2022-02-03T15:04:00Z,2.0058823529413052,PREVIOUSLY_EXPOSED_FEB_01_16
4a25070416d5c95ccecaa8749e3cdcba6f5ae354227dfc71febb3b1d05f3d110,2022-02-02T22:00:00Z,2022-02-03T04:00:00Z,LONG,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-02-03T04:05:00Z,1808.93,1805.21,1810.79,STOP,2022-02-03T08:59:00Z,-1.0,PREVIOUSLY_EXPOSED_FEB_01_16
851672dca80f19c028a8b5674da2cc1b86859dcc984495bf16885565fa87e8f1,2022-02-03T04:00:00Z,2022-02-03T07:00:00Z,SHORT,TARGET,0.5624999999999408,True,INITIAL_CONFIRMATION_TARGET,2022-02-03T07:35:00Z,1805.66,1808.96,1805.21,TARGET,2022-02-03T08:59:00Z,0.13636363636365204,PREVIOUSLY_EXPOSED_FEB_01_16
a546c46da72bcd1f6aab6beb49737d820da108ee17fa955ad8f5d6f1aab06415,2022-02-03T18:00:00Z,2022-02-03T21:00:00Z,SHORT,STOP,-1.0,True,RECLAIM_CONFIRMATION_STOP,2022-02-04T08:10:00Z,1806.24,1808.02,1788.7,STOP,2022-02-04T09:04:00Z,-1.0,PREVIOUSLY_EXPOSED_FEB_01_16
2f1155cfa2f3e0406513b79034a8321fc946528563e5484fabc29c50f0501e41,2022-02-04T05:00:00Z,2022-02-04T08:00:00Z,LONG,TARGET,1.432432432432341,False,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,,,1807.62,,,0.0,PREVIOUSLY_EXPOSED_FEB_01_16
6ce93b549457ea3e230317d0db61d761de8265234159ee07a6db4682ce2035b1,2022-02-04T06:00:00Z,2022-02-04T09:00:00Z,SHORT,STOP,-1.0,False,NO_TRADE_LATER_H1_INVALIDATED,,,,1805.82,,,0.0,PREVIOUSLY_EXPOSED_FEB_01_16
c1f678184241b09cf4fda0cec54ceb9adc1c4cdcb2319ae3b3a4eb0d852d2778,2022-02-04T12:00:00Z,2022-02-04T15:00:00Z,SHORT,STOP,-1.0,False,NO_TRADE_TARGET_BEFORE_H1_REVIEW,,,,1805.86,,,0.0,PREVIOUSLY_EXPOSED_FEB_01_16
15d5a8160ac9c68cbf78cf59e0ecdbe3a7b8f8937a0b2f3c3607303a655c0608,2022-02-04T16:00:00Z,2022-02-04T19:00:00Z,LONG,TARGET,0.5441576086956506,True,INITIAL_CONFIRMATION_TARGET,2022-02-04T19:05:00Z,1807.96,1792.19,1814.92,TARGET,2022-02-07T03:00:00Z,0.4413443246670922,PREVIOUSLY_EXPOSED_FEB_01_16
8d621176b938fbbccd46e9ee059fe71875ecff9031db7db93d9a9367ef5b8be0,2022-02-07T03:00:00Z,2022-02-07T06:00:00Z,SHORT,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-02-07T08:35:00Z,1809.22,1815.27,1792.19,STOP,2022-02-07T15:08:00Z,-1.0,PREVIOUSLY_EXPOSED_FEB_01_16
941b50082596e9d6f5736ed18b9f39d94e332c7d75d03d1c43aa3aed0a0fd145,2022-02-07T08:00:00Z,2022-02-07T11:00:00Z,LONG,TARGET,0.5080831408776172,True,INITIAL_CONFIRMATION_TARGET,2022-02-07T15:05:00Z,1814.84,1808.74,1815.27,TARGET,2022-02-07T15:08:00Z,0.07049180327870001,PREVIOUSLY_EXPOSED_FEB_01_16
0d1b42390d4602032eab696ffa785f6b66899a0bfdc3725ba43b0e1749909866,2022-02-07T10:00:00Z,2022-02-07T13:00:00Z,SHORT,STOP,-1.0,False,NO_TRADE_LATER_H1_INVALIDATED,,,,1808.74,,,0.0,PREVIOUSLY_EXPOSED_FEB_01_16
1222a0dcfdad26eb0626e6b5eae7816183810da70cb127bfc8717069aece427b,2022-02-07T15:00:00Z,2022-02-07T18:00:00Z,SHORT,STOP,-1.0,False,NO_TRADE_H1_CLOSE_INVALIDATED,,,,1808.74,,,0.0,PREVIOUSLY_EXPOSED_FEB_01_16
032a403680b870b0569085a4dc37e3766d72adc93d0a60a1b5e27ea248a8dce3,2022-02-07T21:00:00Z,2022-02-08T03:00:00Z,SHORT,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-02-08T07:15:00Z,1819.56,1823.57,1808.74,STOP,2022-02-08T15:53:00Z,-1.0,PREVIOUSLY_EXPOSED_FEB_01_16
ef2aa6aec745af354b82957b814836072ebbdceaaf1ad99bcc6843b9d4b256b1,2022-02-08T05:00:00Z,2022-02-08T08:00:00Z,SHORT,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-02-08T09:15:00Z,1818.69,1823.31,1808.74,STOP,2022-02-08T15:52:00Z,-1.0,PREVIOUSLY_EXPOSED_FEB_01_16
4254104512b6f53eadaa1556a58e9d12a90cea9e8ff0b83b7cb56ae154849c58,2022-02-08T09:00:00Z,2022-02-08T12:00:00Z,LONG,TARGET,0.7840909090909437,True,INITIAL_CONFIRMATION_TARGET,2022-02-08T12:05:00Z,1819.65,1815.46,1823.31,TARGET,2022-02-08T15:52:00Z,0.8735083532219109,PREVIOUSLY_EXPOSED_FEB_01_16
926184fd3afc4e8944aea68cc33b4d8b9249b2d83f8832dabf7b0beff35781be,2022-02-08T12:00:00Z,2022-02-08T15:00:00Z,SHORT,STOP,-1.0,False,NO_TRADE_H1_CLOSE_INVALIDATED,,,,1815.46,,,0.0,PREVIOUSLY_EXPOSED_FEB_01_16
a892fc7477d3b1d48b50a29d481aa5f48bdb94418b3eeee9c1134085dada24a5,2022-02-08T17:00:00Z,2022-02-08T20:00:00Z,SHORT,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-02-08T20:10:00Z,1826.79,1828.36,1817.28,STOP,2022-02-08T21:04:00Z,-1.0,PREVIOUSLY_EXPOSED_FEB_01_16
9e0740bc4f4929f10d6db36334e4af761801d647d3aedae63ae5804996023f12,2022-02-08T21:00:00Z,2022-02-09T03:00:00Z,SHORT,STOP,-1.0,True,RECLAIM_CONFIRMATION_STOP,2022-02-09T08:10:00Z,1827.49,1829.1399999999999,1817.28,STOP,2022-02-09T15:00:00Z,-1.0,PREVIOUSLY_EXPOSED_FEB_01_16
e17a70f4c524a03194d353f02c78f2af2effb53e7b46fcfcd558e1ee3d8ecc4b,2022-02-09T02:00:00Z,2022-02-09T05:00:00Z,LONG,TARGET,0.4682539682539969,True,INITIAL_CONFIRMATION_TARGET,2022-02-09T05:10:00Z,1828.23,1825.07,1828.77,TARGET,2022-02-09T07:47:00Z,0.17088607594935115,PREVIOUSLY_EXPOSED_FEB_01_16
cb29f47f744990cd71095bfff9562ae409a35b39482386c928a0afe85fac14d4,2022-02-09T07:00:00Z,2022-02-09T10:00:00Z,SHORT,STOP,-1.0,False,NO_TRADE_TARGET_BEFORE_RECLAIM,,,,1825.07,,,0.0,PREVIOUSLY_EXPOSED_FEB_01_16
6ca1f8de3227ee82646cd8ea10c97acf6e88944acd416fd7da26419418c0da73,2022-02-09T09:00:00Z,2022-02-09T12:00:00Z,LONG,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-02-09T12:05:00Z,1828.1,1825.77,1829.12,STOP,2022-02-09T13:37:00Z,-1.0,PREVIOUSLY_EXPOSED_FEB_01_16
1272365800c20878abe50b225222af10283d84d20b3535a82b88006f5ae95b14,2022-02-09T13:00:00Z,2022-02-09T16:00:00Z,LONG,STOP,-1.0,False,NO_TRADE_TARGET_BEFORE_H1_REVIEW,,,,1829.12,,,0.0,PREVIOUSLY_EXPOSED_FEB_01_16
92fab804a152b839dd19c7a68e526ccbd94bb649ad356cbb2b0bfe65d7191ad2,2022-02-09T15:00:00Z,2022-02-09T18:00:00Z,SHORT,STOP,-1.0,False,NO_TRADE_H1_CLOSE_INVALIDATED,,,,1825.7,,,0.0,PREVIOUSLY_EXPOSED_FEB_01_16
6a23ffa7744355ffbd1f9adf009078091874d136a48b401a7a864b028a027d5e,2022-02-09T19:00:00Z,2022-02-09T22:00:00Z,SHORT,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-02-09T22:05:00Z,1833.12,1835.85,1824.69,STOP,2022-02-10T09:41:00Z,-1.0,PREVIOUSLY_EXPOSED_FEB_01_16
6b32753909c9e1611372ad20249153e705f61d621b9b3c803f5f06b7684c2ba8,2022-02-09T22:00:00Z,2022-02-10T04:00:00Z,LONG,TARGET,0.6884057971014022,True,INITIAL_CONFIRMATION_TARGET,2022-02-10T04:15:00Z,1834.44,1831.19,1835.85,TARGET,2022-02-10T09:41:00Z,0.4338461538461091,PREVIOUSLY_EXPOSED_FEB_01_16
2e496591602362ce18cffc669a44d5c21f063de665203842eb0c420e0236b290,2022-02-10T04:00:00Z,2022-02-10T07:00:00Z,SHORT,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-02-10T07:05:00Z,1833.83,1834.75,1831.19,STOP,2022-02-10T07:46:00Z,-1.0,PREVIOUSLY_EXPOSED_FEB_01_16
13da76a24fae3cf69a6f63b6e29531e3cacb5ea23c0ca4e8fdac3decf76bfd54,2022-02-10T07:00:00Z,2022-02-10T10:00:00Z,LONG,TARGET,0.06956521739123557,False,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,,,1834.75,,,0.0,PREVIOUSLY_EXPOSED_FEB_01_16
4d2e2d568ac979dd25ef334c9a914dcdd7641a9f465893cfd7c9c3eea0338f1e,2022-02-10T10:00:00Z,2022-02-10T13:00:00Z,LONG,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-02-10T13:05:00Z,1833.55,1830.47,1836.15,STOP,2022-02-10T15:17:00Z,-1.0,PREVIOUSLY_EXPOSED_FEB_01_16
136238d226ff3ecd9c5314684ceee552912deb259f9b1e97aabcbb8d24878812,2022-02-10T15:00:00Z,2022-02-10T18:00:00Z,LONG,TARGET,0.03823953823955295,False,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,,,1836.15,,,0.0,PREVIOUSLY_EXPOSED_FEB_01_16
99b78b8395e7cfafcb75bd9add8a4af08e1b4b381695426aad3e7be1de1ab78f,2022-02-10T18:00:00Z,2022-02-10T21:00:00Z,SHORT,TARGET,2.06525037936261,True,INITIAL_CONFIRMATION_TARGET,2022-02-10T21:15:00Z,1833.55,1841.96,1821.76,TARGET,2022-02-11T09:21:00Z,1.4019024970273304,PREVIOUSLY_EXPOSED_FEB_01_16
72144b613dc8cc5046a7e86c73d015e6f72ff1268fb63056f566075600974312,2022-02-11T03:00:00Z,2022-02-11T06:00:00Z,LONG,STOP,-1.0,False,NO_TRADE_LATER_H1_INVALIDATED,,,,1841.96,,,0.0,PREVIOUSLY_EXPOSED_FEB_01_16
b0bb2d617d2115e82696e5a6e646e4b7c4c70829e091875a4012c2463e752400,2022-02-11T09:00:00Z,2022-02-11T12:00:00Z,LONG,TARGET,3.187624750499013,True,INITIAL_CONFIRMATION_TARGET,2022-02-11T12:40:00Z,1827.7,1820.98,1841.96,TARGET,2022-02-11T20:32:00Z,2.1220238095237995,PREVIOUSLY_EXPOSED_FEB_01_16
53ff40a4d01e5db5ccb5fa7cd7714d9ca24594eb1c1c984d55a9186816e361fa,2022-02-11T12:00:00Z,2022-02-11T15:00:00Z,LONG,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-02-11T15:05:00Z,1831.83,1825.2,1841.96,STOP,2022-02-11T15:47:00Z,-1.0,PREVIOUSLY_EXPOSED_FEB_01_16
d848fc8fe2b7e2857a4d7acd40053195f14f03f994c782d4acb8cbe91be60e3f,2022-02-11T15:00:00Z,2022-02-11T18:00:00Z,LONG,TARGET,0.5553522415370449,True,INITIAL_CONFIRMATION_TARGET,2022-02-11T19:05:00Z,1837.44,1824.96,1841.96,TARGET,2022-02-11T20:32:00Z,0.36217948717948517,PREVIOUSLY_EXPOSED_FEB_01_16
313c72ca2f9214b2cf910e63395a133a9ae21c7f8ed2d05231dc6514073ad941,2022-02-11T22:00:00Z,2022-02-14T04:00:00Z,SHORT,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-02-14T04:35:00Z,1857.64,1865.5,1824.96,STOP,2022-02-14T16:33:00Z,-1.0,PREVIOUSLY_EXPOSED_FEB_01_16
f1a476e7373a1d22eefb54cca109d1e6e11e32c475fa123bbcedc8779692d16f,2022-02-14T06:00:00Z,2022-02-14T09:00:00Z,LONG,STOP,-1.0,True,RECLAIM_CONFIRMATION_TARGET,2022-02-14T10:25:00Z,1856.39,1850.79,1865.5,TARGET,2022-02-14T16:33:00Z,1.6267857142856568,PREVIOUSLY_EXPOSED_FEB_01_16
d050c1e073c30c9a46085a0e7b1912804331f9508c5a76bb6ea694fc58e74cf3,2022-02-14T09:00:00Z,2022-02-14T12:00:00Z,LONG,TARGET,1.23932926829271,True,INITIAL_CONFIRMATION_TARGET,2022-02-14T12:05:00Z,1857.27,1850.81,1865.5,TARGET,2022-02-14T16:33:00Z,1.2739938080495312,PREVIOUSLY_EXPOSED_FEB_01_16
77b338a0ab2304318dcc11a8a05fb66e865f703e1a091e2442808aa62bba83d4,2022-02-14T10:00:00Z,2022-02-14T13:00:00Z,SHORT,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-02-14T13:15:00Z,1854.27,1858.49,1850.81,STOP,2022-02-14T15:39:00Z,-1.0,PREVIOUSLY_EXPOSED_FEB_01_16
b47b06a634485c9022fcfbce8733685d635925c306163561b4f10c33ccc1c58b,2022-02-14T17:00:00Z,2022-02-14T20:00:00Z,SHORT,STOP,-1.0,False,NO_TRADE_H1_CLOSE_INVALIDATED,,,,1851.37,,,0.0,PREVIOUSLY_EXPOSED_FEB_01_16
e06a6bacb659b8dd5f91c766b99e6d2a75406dd64c5921928355c797cb690065,2022-02-14T21:00:00Z,2022-02-15T03:00:00Z,SHORT,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-02-15T03:10:00Z,1870.58,1874.15,1851.37,STOP,2022-02-15T04:37:00Z,-1.0,PREVIOUSLY_EXPOSED_FEB_01_16
80edf69632cf957a117f5553acb7e5b11d7b821fffa6c6245950770f4440c1ef,2022-02-15T08:00:00Z,2022-02-15T11:00:00Z,SHORT,TARGET,0.5709497206703897,True,INITIAL_CONFIRMATION_TARGET,2022-02-15T11:15:00Z,1856.7,1879.49,1851.37,TARGET,2022-02-15T13:45:00Z,0.23387450636244683,PREVIOUSLY_EXPOSED_FEB_01_16
9d4aa8259f65fa9e5bb84b5a5cd7fdf57404c6f26a353b376f563cb43016474e,2022-02-15T14:00:00Z,2022-02-15T17:00:00Z,LONG,TARGET,7.085648148147857,True,INITIAL_CONFIRMATION_TARGET,2022-02-15T20:15:00Z,1854.58,1844.56,1879.49,TARGET,2022-02-17T10:26:00Z,2.486027944111789,PREVIOUSLY_EXPOSED_FEB_01_16
2603de45cb66d6711f973a69850437803c9483091df5e963d544b1039420308a,2022-02-15T16:00:00Z,2022-02-15T19:00:00Z,SHORT,STOP,-1.0,False,NO_TRADE_H1_CLOSE_INVALIDATED,,,,1844.56,,,0.0,PREVIOUSLY_EXPOSED_FEB_01_16
2dcb490d05d7ea94313d9511b11072a5ce3c371d0cea438461e45198f6e8f8ef,2022-02-15T18:00:00Z,2022-02-15T21:00:00Z,LONG,TARGET,0.23563892145369253,False,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,,,1857.06,,,0.0,PREVIOUSLY_EXPOSED_FEB_01_16
f5733429d1ddfc82a2be318116f1550d2a6de35db6d7de9020c357e1c5a29d1a,2022-02-15T20:00:00Z,2022-02-15T23:00:00Z,SHORT,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-02-16T03:05:00Z,1851.19,1856.54,1846.52,STOP,2022-02-16T09:05:00Z,-1.0,PREVIOUSLY_EXPOSED_FEB_01_16
cd52fa9867a1eebc0c8e5dcc5063aacb6fa85e6ee5db08bb7fef3cc37e5f32b4,2022-02-16T03:00:00Z,2022-02-16T06:00:00Z,LONG,TARGET,1.52631578947366,True,INITIAL_CONFIRMATION_TARGET,2022-02-16T06:40:00Z,1853.23,1850.3,1856.54,TARGET,2022-02-16T09:05:00Z,1.129692832764462,PREVIOUSLY_EXPOSED_FEB_01_16
