scope,entry_policy,stop_policy,population,filled_cases,no_fill_cases,retest_filled_cases,retest_opportunity_cases,winning_cases,losing_cases,flat_cases,target_disposition_cases,stop_disposition_cases,time_exit_disposition_cases,win_rate_filled,gross_positive_r,gross_negative_r,net_r,expectancy_per_population_case_r,expectancy_per_filled_case_r,profit_factor,maximum_drawdown_r,dollars_at_50_max_case_risk,stop_replacements,stop_fallbacks,median_stop_distance_ratio_to_control,original_positive_cases,original_positive_retained,original_positive_converted_to_loss,original_positive_unfilled,delta_vs_control_r,outcome_counts_json
january_2022,CONTROL_NEXT_M1_OPEN,CONTROL_V2_FILLED_STOP,65,65,0,0,39,40,25,0,39,25,1,0.6153846153846154,37.17663727480629,-25.0,12.176637274806287,0.18733288115086597,0.18733288115086597,1.4870654909922516,9.795935691144571,608.8318637403144,0,0,1.0,40,40,0,0,0.0,"{""STOP"":25,""TARGET"":39,""TIME_EXIT"":1}"
january_2022,CONTROL_NEXT_M1_OPEN,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,65,65,0,0,39,27,38,0,27,38,0,0.4153846153846154,43.090684936807996,-38.0,5.090684936807999,0.07831822979704614,0.07831822979704614,1.1339653930738947,13.035742376276605,254.53424684039993,62,3,0.5092909857669995,40,27,13,0,-7.085952337998289,"{""STOP"":38,""TARGET"":27}"
january_2022,CONTROL_NEXT_M1_OPEN,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,65,65,0,0,39,36,29,0,35,29,1,0.5538461538461539,42.17443917597693,-29.0,13.174439175976921,0.20268367963041417,0.20268367963041417,1.45429100606817,11.653899569285537,658.7219587988461,49,16,0.8007532467532159,40,36,4,0,0.997801901170634,"{""STOP"":29,""TARGET"":35,""TIME_EXIT"":1}"
january_2022,CONTROL_NEXT_M1_OPEN,H1_SOURCE_SWING_BUFFERED_ELSE_CONTROL,65,65,0,0,39,39,26,0,38,26,1,0.6,40.01079333082392,-26.0,14.010793330823917,0.21555066662806027,0.21555066662806027,1.5388766665701508,9.28217383077972,700.5396665411959,11,54,1.0,40,39,1,0,1.8341560560176298,"{""STOP"":26,""TARGET"":38,""TIME_EXIT"":1}"
january_2022,M5_BROKEN_CONTROL_FIRST_RETEST,CONTROL_V2_FILLED_STOP,65,39,26,39,39,22,17,26,22,17,0,0.5641025641025641,22.014675644198118,-17.0,5.014675644198122,0.07714885606458649,0.1285814267743108,1.294980920246948,8.19461335693346,250.7337822099061,0,0,1.0,40,22,0,18,-7.1619616306081655,"{""NO_FILL"":26,""STOP"":17,""TARGET"":22}"
january_2022,M5_BROKEN_CONTROL_FIRST_RETEST,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,65,39,26,39,39,13,26,26,13,26,0,0.3333333333333333,25.476608052633882,-26.0,-0.5233919473661182,-0.008052183805632588,-0.013420306342720978,0.9798695404859186,13.076130213180297,-26.169597368305908,62,3,0.5092909857669995,40,13,9,18,-12.700029222172406,"{""NO_FILL"":26,""STOP"":26,""TARGET"":13}"
january_2022,M5_BROKEN_CONTROL_FIRST_RETEST,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,65,39,26,39,39,20,19,26,20,19,0,0.5128205128205128,26.872804330040683,-19.0,7.872804330040681,0.12112006661601048,0.2018667776933508,1.41435812263372,8.748743325605744,393.6402165020341,49,16,0.8007532467532159,40,20,2,18,-4.303832944765606,"{""NO_FILL"":26,""STOP"":19,""TARGET"":20}"
january_2022,M5_BROKEN_CONTROL_FIRST_RETEST,H1_SOURCE_SWING_BUFFERED_ELSE_CONTROL,65,39,26,39,39,22,17,26,22,17,0,0.5641025641025641,25.95628516200114,-17.0,8.956285162001146,0.1377890024923253,0.22964833748720886,1.5268403036471259,7.547683185452466,447.8142581000573,11,54,1.0,40,22,0,18,-3.2203521128051413,"{""NO_FILL"":26,""STOP"":17,""TARGET"":22}"
january_2022,CONFIRMED_25_75_RETEST_SPLIT,CONTROL_V2_FILLED_STOP,65,65,0,39,39,40,25,0,39,25,1,0.6153846153846154,25.805166051850165,-19.0,6.80516605185016,0.10469486233615631,0.10469486233615631,1.3581666343079035,8.593350870865114,340.258302592508,0,0,1.0,40,40,0,0,-5.371471222956127,"{""SPLIT_CONTROL_STOP_NO_RETEST"":8,""SPLIT_CONTROL_TARGET_NO_RETEST"":17,""SPLIT_CONTROL_TIME_EXIT_NO_RETEST"":1,""SPLIT_STOP_STOP"":17,""SPLIT_TARGET_TARGET"":22}"
january_2022,CONFIRMED_25_75_RETEST_SPLIT,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,65,65,0,39,39,27,38,0,27,38,0,0.4153846153846154,29.880127273677413,-29.0,0.8801272736774115,0.013540419595037101,0.013540419595037101,1.0303492163337038,12.961961357936474,44.006363683870575,62,3,0.5092909857669995,40,27,13,0,-11.296510001128876,"{""SPLIT_CONTROL_STOP_NO_RETEST"":12,""SPLIT_CONTROL_TARGET_NO_RETEST"":14,""SPLIT_STOP_STOP"":26,""SPLIT_TARGET_TARGET"":13}"
