control_outcome,control_r,decision_at,direction,entry_at,entry_price,evidence_segment,executed,net_r,outcome,pivot_at,resolution_at,route,stop,target,trade_identity
STOP,-1.0,2022-06-01T07:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-06-01T04:00:00Z,,NO_TRADE_LATER_H1_INVALIDATED,,1855.4,51703c183be46cd83caf05981ba756d8ffde28720ebccd228b3213e125507a49
TARGET,0.04977375565611395,2022-06-01T08:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-06-01T05:00:00Z,,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,1833.28,d7e11ead08ada0462b2129c4524941ea8019b30ad0a0527601aeb55dc639f32f
STOP,-1.0,2022-06-01T11:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-06-01T08:00:00Z,,NO_TRADE_TARGET_BEFORE_RECLAIM,,1837.92,f075373c4a0ed6d4fec0890fa5a25de4679ecd751ec184bbd20ea862067dc169
TARGET,0.4832347140039598,2022-06-01T14:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-06-01T11:00:00Z,,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,1829.69,afa7b6a6e90065bee40cec46eb898d46109d2790c3b3650b369bd13604d56cc1
TARGET,5.4925373134332665,2022-06-01T15:00:00Z,LONG,2022-06-01T15:15:00Z,1832.4,EXPOSED_HISTORICAL_REGRESSION,True,1.2365038560410853,TARGET,2022-06-01T12:00:00Z,2022-06-01T15:37:00Z,INITIAL_CONFIRMATION_TARGET,1828.51,1837.21,1bba16574c4d8f94ff47122547db3f588b16043a79a55f3a02a458c240f746fe
STOP,-1.0,2022-06-01T19:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-06-01T16:00:00Z,,NO_TRADE_LATER_H1_INVALIDATED,,1828.93,00e63f383763ef3455ee81905aeca375f45e86a9fcb49405e25371ca25048b40
STOP,-1.0,2022-06-02T03:00:00Z,SHORT,2022-06-02T04:15:00Z,1845.96,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2022-06-01T21:00:00Z,2022-06-02T09:24:00Z,INITIAL_CONFIRMATION_STOP,1850.05,1828.93,fcb7ce8801cc3b9da8cdc135baacca85f21036c1ae72392ad0175969348b44dc
TARGET,5.187499999999822,2022-06-02T08:00:00Z,LONG,2022-06-02T08:35:00Z,1846.79,EXPOSED_HISTORICAL_REGRESSION,True,1.2164179104477288,TARGET,2022-06-02T05:00:00Z,2022-06-02T09:24:00Z,INITIAL_CONFIRMATION_TARGET,1844.11,1850.05,0ac844c59fc14bb62b9531df262c53b646bbc22c079980b4cfd8f6de3c86becc
STOP,-1.0,2022-06-02T22:00:00Z,SHORT,2022-06-03T03:05:00Z,1868.38,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2022-06-02T19:00:00Z,2022-06-03T03:25:00Z,RECLAIM_CONFIRMATION_STOP,1870.62,1850.9,9d1d0d7e9cb8436589b63e4f22e68f7a83cf3b61ade7bba76320df45693e5245
TARGET,0.07425742574261995,2022-06-03T06:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-06-03T03:00:00Z,,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,1870.39,bbc00d119bc93dda6f12d40279fbb97a8e6b4d20b1f2f269adfc0e1d361af4bb
TARGET,4.997416020671954,2022-06-03T06:00:00Z,SHORT,2022-06-03T06:15:00Z,1869.67,EXPOSED_HISTORICAL_REGRESSION,True,4.227477477477638,TARGET,2022-06-03T03:00:00Z,2022-06-03T19:02:00Z,INITIAL_CONFIRMATION_TARGET,1874.11,1850.9,f609c9abc2e65461dba041fd2a576b3de1e63889e960ef1240125f6f7441a96e
STOP,-1.0,2022-06-03T15:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-06-03T12:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,1874.11,476d48226895408862c0ba681535f265a7a631931e149f0dca7346615feb0d6b
TARGET,0.04176334106730068,2022-06-03T17:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-06-03T14:00:00Z,,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,1863.36,24d0a5b6610929f8c28e0764a750c11e4f0e53e80f09b8c4c00f7d8bbf9d2860
STOP,-1.0,2022-06-03T18:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-06-03T15:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,1867.85,eb515cb791705bc6a2686c192d0876d1ba11c3d89f67b51c3b362f5f82078444
STOP,-1.0,2022-06-03T23:00:00Z,LONG,2022-06-03T23:45:00Z,1851.31,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2022-06-03T20:00:00Z,2022-06-06T17:02:00Z,INITIAL_CONFIRMATION_STOP,1847.33,1867.85,c470fce902c2530f49e19095b9eb26ebc0d9b1e5a18b4fbf8c2d95bb0eae1f8c
STOP,-1.0,2022-06-06T10:00:00Z,SHORT,2022-06-06T10:25:00Z,1853.0,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2022-06-06T07:00:00Z,2022-06-06T15:12:00Z,INITIAL_CONFIRMATION_STOP,1856.66,1847.33,b77964e4e80f4cda85872a4cc95f40af539fe467b6a441ae9c0efff16e62aa9d
TARGET,1.8888888888888762,2022-06-06T14:00:00Z,LONG,2022-06-06T15:10:00Z,1855.94,EXPOSED_HISTORICAL_REGRESSION,True,0.14400000000000546,TARGET,2022-06-06T11:00:00Z,2022-06-06T15:12:00Z,INITIAL_CONFIRMATION_TARGET,1850.94,1856.66,d7c974daf9db072d636dc0e012b1208f33f02cb620599749ad0619d5d2cbd922
TARGET,5.601910828025273,2022-06-07T07:00:00Z,LONG,2022-06-07T07:15:00Z,1842.38,EXPOSED_HISTORICAL_REGRESSION,True,2.903954802259763,TARGET,2022-06-07T04:00:00Z,2022-06-08T18:05:00Z,INITIAL_CONFIRMATION_TARGET,1837.07,1857.8,d03f5646c1fa05b7068d0723a176174c054533e5e0dd0be70deb4ff95bcbc5ee
STOP,-1.0,2022-06-07T10:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-06-07T07:00:00Z,,NO_TRADE_LATER_H1_INVALIDATED,,1837.07,01e6781668cd2f30adf3e5aba8adac49041010495ba100e0557adc4d08a2d291
STOP,-1.0,2022-06-07T16:00:00Z,SHORT,2022-06-07T16:20:00Z,1842.53,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2022-06-07T13:00:00Z,2022-06-07T16:50:00Z,INITIAL_CONFIRMATION_STOP,1851.95,1838.51,c914e2ac336babde0964cb7d7aa9dacdc1455dc19e3733d5cc130d4972e0e9e6
STOP,-1.0,2022-06-07T19:00:00Z,SHORT,2022-06-07T20:15:00Z,1849.0,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2022-06-07T16:00:00Z,2022-06-07T21:39:00Z,INITIAL_CONFIRMATION_STOP,1853.56,1838.51,a9dd19598e2857fb115d6e0bb61fe44ffacdc4867650d7ba9ff82d9b8d824f5c
TARGET,0.051478641840089996,2022-06-07T19:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-06-07T16:00:00Z,,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,1851.95,f596ec84a4336c7ae68549695b8b077bf1c0b0d22a337c7ebcaf7dbddbd654ed
TARGET,0.2682926829268449,2022-06-08T04:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-06-07T22:00:00Z,,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,1848.81,14d43fdfbc45798b7d413c3e5737a4af2a2e3991d629a10fd200390da5b22839
STOP,-1.0,2022-06-08T10:00:00Z,LONG,2022-06-08T10:45:00Z,1850.4,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2022-06-08T07:00:00Z,2022-06-08T15:27:00Z,INITIAL_CONFIRMATION_STOP,1845.58,1855.57,42e48be29a42c689e92b2f1ba63f07a683a248457b9d95d4fb71ba775efb8b0e
STOP,-1.0,2022-06-08T13:00:00Z,LONG,2022-06-08T13:05:00Z,1850.49,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2022-06-08T10:00:00Z,2022-06-08T15:27:00Z,INITIAL_CONFIRMATION_STOP,1846.5,1855.57,1a638e8c2b042c12bd98ecfacd103b0db25059aaec1c62160eba8d16c5e7089f
STOP,-1.0,2022-06-08T13:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-06-08T10:00:00Z,,NO_TRADE_LATER_H1_INVALIDATED,,1845.58,ab3205c1a92ae2113a99d99d20efe720c75127cb8ffe1e8f199534406340676c
TARGET,1.9801587301586137,2022-06-08T21:00:00Z,SHORT,2022-06-08T22:50:00Z,1852.93,EXPOSED_HISTORICAL_REGRESSION,True,1.2317979197622497,TARGET,2022-06-08T18:00:00Z,2022-06-09T15:05:00Z,INITIAL_CONFIRMATION_TARGET,1859.66,1844.64,99c7843d9ed71d891d795e87b22be460c4c6f48a1a4aeadfda711b69d5bef735
STOP,-1.0,2022-06-09T08:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-06-09T05:00:00Z,,NO_TRADE_LATER_H1_INVALIDATED,,1859.66,ed251c6320df9c73ba9154dfc546e5323d9275c58c890d70c7201d1d773ad657
TARGET,0.11838790931991208,2022-06-09T09:00:00Z,SHORT,2022-06-09T09:05:00Z,1851.76,EXPOSED_HISTORICAL_REGRESSION,True,0.23676880222839233,TARGET,2022-06-09T06:00:00Z,2022-06-09T09:27:00Z,INITIAL_CONFIRMATION_TARGET,1855.35,1850.91,bac50de47e0722540d2ba94d7b99f6e092698c3001328f733e60b502c30d60c4
STOP,-1.0,2022-06-09T14:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-06-09T11:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,1855.35,106c7129b01e08486f58a015e51ee4e3f5ca21f043bbd20cbec49aa798aa00e4
STOP,-1.0,2022-06-09T20:00:00Z,LONG,2022-06-09T20:30:00Z,1850.41,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2022-06-09T17:00:00Z,2022-06-10T14:20:00Z,INITIAL_CONFIRMATION_STOP,1840.06,1852.56,1e0231f83fee49ef96e1b9148bc70306e82ff9886b382d56a15a3d86840a41f1
TARGET,2.0523255813953005,2022-06-09T23:00:00Z,SHORT,2022-06-09T23:05:00Z,1846.88,EXPOSED_HISTORICAL_REGRESSION,True,1.8532608695653443,TARGET,2022-06-09T20:00:00Z,2022-06-10T14:20:00Z,INITIAL_CONFIRMATION_TARGET,1850.56,1840.06,895eef0e2d40eb08eb5058f3efe5a529442954b519c85bb4a8cbd7c0c328b234
TARGET,1.3895348837209003,2022-06-10T07:00:00Z,SHORT,2022-06-10T07:40:00Z,1844.22,EXPOSED_HISTORICAL_REGRESSION,True,1.024630541871955,TARGET,2022-06-10T04:00:00Z,2022-06-10T14:20:00Z,INITIAL_CONFIRMATION_TARGET,1848.28,1840.06,456eac9e43ee6f146ff4217d9a57cc913e86ca9258377c84b67cd61e7d33d288
STOP,-1.0,2022-06-10T11:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-06-10T08:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,1848.28,203d8054269e235662396c470c0ffcb4f04274e8bdba508edc68fc8dcfbdc458
STOP,-1.0,2022-06-10T22:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-06-10T19:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,1825.08,ba0aa4c90a673f00ead8c04938f6164fe05894bce91cfe4846e8d43519d52efc
TARGET,2.754838709677415,2022-06-13T06:00:00Z,SHORT,2022-06-13T10:40:00Z,1859.64,EXPOSED_HISTORICAL_REGRESSION,True,1.939393939393956,TARGET,2022-06-13T03:00:00Z,2022-06-13T17:31:00Z,INITIAL_CONFIRMATION_TARGET,1877.46,1825.08,cb52145d3a85c1128b6c08e8f7ac1eceec7fcdf9e4d25ee7f5f9eedd8a66e6ce
STOP,-1.0,2022-06-13T08:00:00Z,LONG,2022-06-13T08:05:00Z,1864.1,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2022-06-13T05:00:00Z,2022-06-13T10:29:00Z,INITIAL_CONFIRMATION_STOP,1860.2,1877.46,3c7de8325a2687bb3c30edfd86065929cbf810591caf9dedd18f3829ae2028dc
STOP,-1.0,2022-06-13T15:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-06-13T12:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,1867.22,61bcda474270f19b0c19a36c5ccd86e0a01dccb827c7ab40919c3ad895f48e66
STOP,-1.0,2022-06-13T20:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-06-13T17:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,1859.0,636e8ce8adefe31909c5f266e5fe890e78bbccb87722bb1455a521f34e4244a7
TARGET,0.30909090909089193,2022-06-13T22:00:00Z,SHORT,2022-06-13T22:05:00Z,1825.12,EXPOSED_HISTORICAL_REGRESSION,True,0.19431279620851447,TARGET,2022-06-13T19:00:00Z,2022-06-13T22:07:00Z,INITIAL_CONFIRMATION_TARGET,1833.56,1823.48,82c4dcc9665c53af87de716f6213c4a8b650bcefb86990c501bb10503c1094f5
STOP,-1.0,2022-06-14T05:00:00Z,LONG,2022-06-14T05:35:00Z,1826.44,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2022-06-14T02:00:00Z,2022-06-14T14:51:00Z,INITIAL_CONFIRMATION_STOP,1817.82,1833.56,8826d2fa89ff9ae249cf51e2652c4fb4854f98618604bca3074d16767cb06e25
STOP,-1.0,2022-06-14T11:00:00Z,LONG,2022-06-14T14:00:00Z,1824.6,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2022-06-14T08:00:00Z,2022-06-14T14:23:00Z,RECLAIM_CONFIRMATION_STOP,1820.1,1833.56,e5636a4e649e1528a825cf5fda79a71dec0bf91363a9812ef2c2eb9ef86432d1
TARGET,0.008021390374324236,2022-06-14T13:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-06-14T10:00:00Z,,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,1824.0,ef5293d8ded6e7002e310d458b252f20c0099ca5ab9d4214e13001b415487e5f
STOP,-1.0,2022-06-14T21:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-06-14T18:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,1831.54,45f93bac873b6b73d70115934cd2450b85110504c8bda6f265608797476eb339
TARGET,3.165354330708579,2022-06-15T04:00:00Z,LONG,2022-06-15T04:05:00Z,1811.84,EXPOSED_HISTORICAL_REGRESSION,True,2.918518518518525,TARGET,2022-06-14T22:00:00Z,2022-06-15T14:20:00Z,INITIAL_CONFIRMATION_TARGET,1805.09,1831.54,09885679ce447cf7b1ac76ece9bca92e31bf1667f3423178c77d6c32dc24b2ea
STOP,-1.0,2022-06-15T08:00:00Z,SHORT,2022-06-15T08:05:00Z,1813.65,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2022-06-15T05:00:00Z,2022-06-15T09:21:00Z,INITIAL_CONFIRMATION_STOP,1819.6,1805.09,f64f76e2c2e2d417c7e218672d9b079600ed533c8e4e1c0c836c7678ae9313a2
TARGET,0.1546827794561905,2022-06-15T18:00:00Z,SHORT,2022-06-15T18:05:00Z,1820.14,EXPOSED_HISTORICAL_REGRESSION,True,0.16809290953545336,TARGET,2022-06-15T15:00:00Z,2022-06-15T20:35:00Z,INITIAL_CONFIRMATION_TARGET,1836.5,1817.39,3391edca7037de04a8afe202b05a7c43b0cd630c6cb7b116e19915e50e07de47
STOP,-1.0,2022-06-15T20:00:00Z,LONG,2022-06-15T21:15:00Z,1820.54,EXPOSED_HISTORICAL_REGRESSION,True,2.296402877697832,TARGET,2022-06-15T17:00:00Z,2022-06-15T21:43:00Z,RECLAIM_CONFIRMATION_TARGET,1813.59,1836.5,8260c3df26522c16c00ca794fdc11da5f2b5e0dfed0c8ac946398401463942d7
TARGET,0.1298124383020785,2022-06-16T03:00:00Z,LONG,2022-06-16T03:10:00Z,1835.54,EXPOSED_HISTORICAL_REGRESSION,True,0.043775649794803174,TARGET,2022-06-15T21:00:00Z,2022-06-16T18:13:00Z,INITIAL_CONFIRMATION_TARGET,1813.61,1836.5,f2cd9cc2177f7569021522a63381d4a9079c0b71941f562bb793446230ca39a7
STOP,-1.0,2022-06-16T04:00:00Z,SHORT,2022-06-16T04:20:00Z,1832.66,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2022-06-15T22:00:00Z,2022-06-16T18:22:00Z,INITIAL_CONFIRMATION_STOP,1841.92,1813.61,79f906d35a78fd1088b555966b50c8b9131bd33959369e54fc48f5d09fdf0667
STOP,-1.0,2022-06-16T13:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-06-16T10:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,1841.92,6dacc981b6fa44c7c651bcf90189b5642452b8d9bc600f825ea015a05ff81d32
TARGET,0.670781893004099,2022-06-16T17:00:00Z,LONG,2022-06-16T18:00:00Z,1832.48,EXPOSED_HISTORICAL_REGRESSION,True,0.21702637889687512,TARGET,2022-06-16T14:00:00Z,2022-06-16T18:13:00Z,INITIAL_CONFIRMATION_TARGET,1815.8,1836.1,382afd8dc17d4b766900865d2f5fb875585fae2e6148c6df4d7e35c63fc0a3b5
STOP,-1.0,2022-06-16T22:00:00Z,SHORT,2022-06-17T03:10:00Z,1849.1,EXPOSED_HISTORICAL_REGRESSION,True,3.9408284023668374,TARGET,2022-06-16T19:00:00Z,2022-06-29T11:45:00Z,RECLAIM_CONFIRMATION_TARGET,1857.55,1815.8,1a3bbf51e6609fb5581c781cbe734e88d3a2abd72d8a24e0764f6c09c2ff59d6
STOP,-1.0,2022-06-17T04:00:00Z,SHORT,2022-06-17T04:05:00Z,1845.98,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2022-06-16T22:00:00Z,2022-06-17T15:53:00Z,INITIAL_CONFIRMATION_STOP,1852.65,1815.8,ef28be386941e3b0a5388298cadd8b61a6de24f69f45da12cd22dd4d6b94d217
TARGET,1.9489247311827813,2022-06-17T09:00:00Z,LONG,2022-06-17T09:30:00Z,1847.18,EXPOSED_HISTORICAL_REGRESSION,True,0.9945454545454595,TARGET,2022-06-17T06:00:00Z,2022-06-17T15:53:00Z,INITIAL_CONFIRMATION_TARGET,1841.68,1852.65,67aff4db35e786e36cfa21f665953d1557d10aafa032980ff7ec893f7c7d6459
TARGET,0.7902684563758402,2022-06-17T13:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-06-17T10:00:00Z,,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,1852.65,cd53484053e2f6d3af644a57b5518907f2d12af52536c9c3445c961614c5c6f0
STOP,-1.0,2022-06-17T15:00:00Z,SHORT,2022-06-17T16:35:00Z,1843.32,EXPOSED_HISTORICAL_REGRESSION,True,0.13842975206610633,TARGET,2022-06-17T12:00:00Z,2022-06-17T16:59:00Z,RECLAIM_CONFIRMATION_TARGET,1853.0,1841.98,9cefd95a73626e261120417a2faf02cdb64e6bd1335d1781acbe75e7b6afbfdb
