broken_m5_control_identity,broken_m5_control_level,confirmation_at,confirmation_bar_identity,control_entry_at,control_entry_price,control_stop,deadline,decision_at,delta_vs_original_r,direction,distance_ratio_to_control,dollars_at_50_max_case_risk,effective_stop_policy,entry_at,entry_policy,entry_price,filled,geometry_sha256,mae_r,mfe_r,month,net_r,original_net_r,original_outcome,original_resolution_at,outcome,policy_result_sha256,resolution_at,retest_disposition,retest_expiry_at,retest_fill_at,retest_level,retest_opportunity,retest_used,route,row_sha256,source_h1_swing_identity,stop,stop_atr14,stop_buffer,stop_fallback_reason,stop_policy,stop_replaced_control,stop_source_identity,stop_source_known_at,stop_source_level,target,trade_identity
00d7c31d94c9cfbb321a42133f17e705b870ded381003b6ee86a3c780e398e2c,1980.95,2023-11-01T11:55:00Z,fa7e8088e2126e5f548aca5eb68e309a9a5b08ac9f035e2143eb3cd70277d7da,2023-11-01T11:55:00Z,1982.04,1975.25,2023-12-01T00:00:00Z,2023-11-01T10:00:00Z,0.0,LONG,1.0,-50.0,CONTROL_V2_FILLED_STOP,2023-11-01T11:55:00Z,CONTROL_NEXT_M1_OPEN,1982.04,True,7b73d54314285201cd5701b59b3fbe9337ce58a136ea6bced33e35f704d385ae,1.0162002945507953,1.469808541973501,2023_11,-1.0,-1.0,STOP,2023-11-01T19:37:00Z,STOP,e11ce61e3ae1a2b1ac21e72c11a3a5f89f6778777b3f499c77e866fbe5535bbc,2023-11-01T19:37:00Z,RETEST_EXPIRED,2023-11-01T12:10:00Z,,1980.95,False,False,INITIAL_CONFIRMATION_STOP,b1f6a8a449a40adfc93416c6c1ceb01c0ccd0acd9ed2f699d4369ad581732e9b,8f8d7d601032afa1c50ea790073f4500427ecca124d5f8a46c3cd25fe45de106,1975.25,,,,CONTROL_V2_FILLED_STOP,False,,2023-11-01T11:55:00Z,1975.25,2007.89,5f0346a9080578abc782daa06b56e4228504a3b5ccc79fbd9b4256bbc39aeaea
00d7c31d94c9cfbb321a42133f17e705b870ded381003b6ee86a3c780e398e2c,1980.95,2023-11-01T11:55:00Z,fa7e8088e2126e5f548aca5eb68e309a9a5b08ac9f035e2143eb3cd70277d7da,2023-11-01T11:55:00Z,1982.04,1975.25,2023-12-01T00:00:00Z,2023-11-01T10:00:00Z,0.0,LONG,0.6968598779718115,-50.0,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,2023-11-01T11:55:00Z,CONTROL_NEXT_M1_OPEN,1982.04,True,0d788de5871fcaae064dbb8b4667fb0b50db503fb19cc115f81d5f7f92dc1813,1.1116562379705153,2.109188071282468,2023_11,-1.0,-1.0,STOP,2023-11-01T19:37:00Z,STOP,852a3866828a4d6fef61c0d65004251615c443991c7778278ac85c43fcbe801d,2023-11-01T19:21:00Z,RETEST_EXPIRED,2023-11-01T12:10:00Z,,1980.95,False,False,INITIAL_CONFIRMATION_STOP,11f136ede70218fd37a6eb9d34fdf78f58774274b0dd38b0dc1b54a46a216d3e,8f8d7d601032afa1c50ea790073f4500427ecca124d5f8a46c3cd25fe45de106,1977.3083214285714,1.2335714285714272,0.06167857142857136,,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,True,0724e1dd9d76318a237ad1d3edfe86df4444bb8abd68b57123cf2d773d072411,2023-11-01T11:35:00Z,1977.37,2007.89,5f0346a9080578abc782daa06b56e4228504a3b5ccc79fbd9b4256bbc39aeaea
00d7c31d94c9cfbb321a42133f17e705b870ded381003b6ee86a3c780e398e2c,1980.95,2023-11-01T11:55:00Z,fa7e8088e2126e5f548aca5eb68e309a9a5b08ac9f035e2143eb3cd70277d7da,2023-11-01T11:55:00Z,1982.04,1975.25,2023-12-01T00:00:00Z,2023-11-01T10:00:00Z,0.0,LONG,0.8304544498211579,-50.0,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,2023-11-01T11:55:00Z,CONTROL_NEXT_M1_OPEN,1982.04,True,8b14da3a88cf901c51f38a9655b12b81632d043ef50d10f0d862093ef191afa2,1.0179496598811966,1.7698846002812447,2023_11,-1.0,-1.0,STOP,2023-11-01T19:37:00Z,STOP,a5833ab19c42bed0ebe33ef517a0e4d1374e24fb562e123b22e144029b9e30c5,2023-11-01T19:36:00Z,RETEST_EXPIRED,2023-11-01T12:10:00Z,,1980.95,False,False,INITIAL_CONFIRMATION_STOP,3efbe64078305c3a48fac581daca9173f586a541d4569eee071fb1be27a38a1b,8f8d7d601032afa1c50ea790073f4500427ecca124d5f8a46c3cd25fe45de106,1976.4012142857143,1.775714285714295,0.08878571428571475,,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,True,b031df8872b5d9ca8f0678d7c9e9c96e88842a6aab976fe82db998c63f0dabaf,2023-11-01T11:30:00Z,1976.49,2007.89,5f0346a9080578abc782daa06b56e4228504a3b5ccc79fbd9b4256bbc39aeaea
00d7c31d94c9cfbb321a42133f17e705b870ded381003b6ee86a3c780e398e2c,1980.95,2023-11-01T11:55:00Z,fa7e8088e2126e5f548aca5eb68e309a9a5b08ac9f035e2143eb3cd70277d7da,2023-11-01T11:55:00Z,1982.04,1975.25,2023-12-01T00:00:00Z,2023-11-01T10:00:00Z,0.0,LONG,1.0,-50.0,CONTROL_V2_FILLED_STOP,2023-11-01T11:55:00Z,CONTROL_NEXT_M1_OPEN,1982.04,True,ed94670205ec3f2cc3fb93652ceb550f263c2eb74fa46c4862d2ceea1c411b0a,1.0162002945507953,1.469808541973501,2023_11,-1.0,-1.0,STOP,2023-11-01T19:37:00Z,STOP,06cee6cc1a927f8a6d0b0d431c69873e34f025db90134dad548a7f7c3a7b03f7,2023-11-01T19:37:00Z,RETEST_EXPIRED,2023-11-01T12:10:00Z,,1980.95,False,False,INITIAL_CONFIRMATION_STOP,5b4e6e6c4a3dec25ed96b8e8897a8ba067d49424384602488ea0246ba8facb13,8f8d7d601032afa1c50ea790073f4500427ecca124d5f8a46c3cd25fe45de106,1975.25,3.9592857142857025,0.19796428571428515,NOT_STRICTLY_CLOSER_THAN_CONTROL,H1_SOURCE_SWING_BUFFERED_ELSE_CONTROL,False,8f8d7d601032afa1c50ea790073f4500427ecca124d5f8a46c3cd25fe45de106,2023-11-01T10:00:00Z,1975.25,2007.89,5f0346a9080578abc782daa06b56e4228504a3b5ccc79fbd9b4256bbc39aeaea
00d7c31d94c9cfbb321a42133f17e705b870ded381003b6ee86a3c780e398e2c,1980.95,2023-11-01T11:55:00Z,fa7e8088e2126e5f548aca5eb68e309a9a5b08ac9f035e2143eb3cd70277d7da,2023-11-01T11:55:00Z,1982.04,1975.25,2023-12-01T00:00:00Z,2023-11-01T10:00:00Z,1.0,LONG,1.0,0.0,CONTROL_V2_FILLED_STOP,,M5_BROKEN_CONTROL_FIRST_RETEST,,False,7b73d54314285201cd5701b59b3fbe9337ce58a136ea6bced33e35f704d385ae,,,2023_11,0.0,-1.0,STOP,2023-11-01T19:37:00Z,NO_FILL,1b0556cd335f8aa19d5fb67138a449d22ab2cb65a226da3faa25b2ec967f1370,,RETEST_EXPIRED,2023-11-01T12:10:00Z,,1980.95,False,False,INITIAL_CONFIRMATION_STOP,25e667e51919df81dcaefe8aa11faf77315c93705a41f60a38d5ce25993d2c96,8f8d7d601032afa1c50ea790073f4500427ecca124d5f8a46c3cd25fe45de106,1975.25,,,,CONTROL_V2_FILLED_STOP,False,,2023-11-01T11:55:00Z,1975.25,2007.89,5f0346a9080578abc782daa06b56e4228504a3b5ccc79fbd9b4256bbc39aeaea
00d7c31d94c9cfbb321a42133f17e705b870ded381003b6ee86a3c780e398e2c,1980.95,2023-11-01T11:55:00Z,fa7e8088e2126e5f548aca5eb68e309a9a5b08ac9f035e2143eb3cd70277d7da,2023-11-01T11:55:00Z,1982.04,1975.25,2023-12-01T00:00:00Z,2023-11-01T10:00:00Z,1.0,LONG,0.6968598779718115,0.0,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,,M5_BROKEN_CONTROL_FIRST_RETEST,,False,0d788de5871fcaae064dbb8b4667fb0b50db503fb19cc115f81d5f7f92dc1813,,,2023_11,0.0,-1.0,STOP,2023-11-01T19:37:00Z,NO_FILL,cb0e01f226eda9013b9db448da2700b6ac79c9348db1b578e1ed86f70c256312,,RETEST_EXPIRED,2023-11-01T12:10:00Z,,1980.95,False,False,INITIAL_CONFIRMATION_STOP,68e115a508695ede93deb4eef8bfe44f981496e81e2e4089e4c56765948a2946,8f8d7d601032afa1c50ea790073f4500427ecca124d5f8a46c3cd25fe45de106,1977.3083214285714,1.2335714285714272,0.06167857142857136,,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,True,0724e1dd9d76318a237ad1d3edfe86df4444bb8abd68b57123cf2d773d072411,2023-11-01T11:35:00Z,1977.37,2007.89,5f0346a9080578abc782daa06b56e4228504a3b5ccc79fbd9b4256bbc39aeaea
00d7c31d94c9cfbb321a42133f17e705b870ded381003b6ee86a3c780e398e2c,1980.95,2023-11-01T11:55:00Z,fa7e8088e2126e5f548aca5eb68e309a9a5b08ac9f035e2143eb3cd70277d7da,2023-11-01T11:55:00Z,1982.04,1975.25,2023-12-01T00:00:00Z,2023-11-01T10:00:00Z,1.0,LONG,0.8304544498211579,0.0,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,,M5_BROKEN_CONTROL_FIRST_RETEST,,False,8b14da3a88cf901c51f38a9655b12b81632d043ef50d10f0d862093ef191afa2,,,2023_11,0.0,-1.0,STOP,2023-11-01T19:37:00Z,NO_FILL,870a46c83f3f07499302bcf12eff6ed4963ec42397051dbba90305ebb31823d8,,RETEST_EXPIRED,2023-11-01T12:10:00Z,,1980.95,False,False,INITIAL_CONFIRMATION_STOP,0b0bae04295e3df92075f973a5b7cca36cfbca2f8a0ed9486dc8c5616f787422,8f8d7d601032afa1c50ea790073f4500427ecca124d5f8a46c3cd25fe45de106,1976.4012142857143,1.775714285714295,0.08878571428571475,,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,True,b031df8872b5d9ca8f0678d7c9e9c96e88842a6aab976fe82db998c63f0dabaf,2023-11-01T11:30:00Z,1976.49,2007.89,5f0346a9080578abc782daa06b56e4228504a3b5ccc79fbd9b4256bbc39aeaea
00d7c31d94c9cfbb321a42133f17e705b870ded381003b6ee86a3c780e398e2c,1980.95,2023-11-01T11:55:00Z,fa7e8088e2126e5f548aca5eb68e309a9a5b08ac9f035e2143eb3cd70277d7da,2023-11-01T11:55:00Z,1982.04,1975.25,2023-12-01T00:00:00Z,2023-11-01T10:00:00Z,1.0,LONG,1.0,0.0,CONTROL_V2_FILLED_STOP,,M5_BROKEN_CONTROL_FIRST_RETEST,,False,ed94670205ec3f2cc3fb93652ceb550f263c2eb74fa46c4862d2ceea1c411b0a,,,2023_11,0.0,-1.0,STOP,2023-11-01T19:37:00Z,NO_FILL,de2e910d4f70837dd90505e0ecbd3327d6b4c1de5be1f541a1a6b126781b6cff,,RETEST_EXPIRED,2023-11-01T12:10:00Z,,1980.95,False,False,INITIAL_CONFIRMATION_STOP,e4f607fefdab14aca99c02d2a2fccad7552f1710de8b63ba4204253aefd07ae6,8f8d7d601032afa1c50ea790073f4500427ecca124d5f8a46c3cd25fe45de106,1975.25,3.9592857142857025,0.19796428571428515,NOT_STRICTLY_CLOSER_THAN_CONTROL,H1_SOURCE_SWING_BUFFERED_ELSE_CONTROL,False,8f8d7d601032afa1c50ea790073f4500427ecca124d5f8a46c3cd25fe45de106,2023-11-01T10:00:00Z,1975.25,2007.89,5f0346a9080578abc782daa06b56e4228504a3b5ccc79fbd9b4256bbc39aeaea
00d7c31d94c9cfbb321a42133f17e705b870ded381003b6ee86a3c780e398e2c,1980.95,2023-11-01T11:55:00Z,fa7e8088e2126e5f548aca5eb68e309a9a5b08ac9f035e2143eb3cd70277d7da,2023-11-01T11:55:00Z,1982.04,1975.25,2023-12-01T00:00:00Z,2023-11-01T10:00:00Z,0.75,LONG,1.0,-12.5,CONTROL_V2_FILLED_STOP,2023-11-01T11:55:00Z,CONFIRMED_25_75_RETEST_SPLIT,1982.04,True,7b73d54314285201cd5701b59b3fbe9337ce58a136ea6bced33e35f704d385ae,0.2540500736376988,0.36745213549337524,2023_11,-0.25,-1.0,STOP,2023-11-01T19:37:00Z,SPLIT_CONTROL_STOP_NO_RETEST,e58a14c9a61f34573bde65896b1db50ba544c2406f289a94b026032dd0f7fdb3,2023-11-01T19:37:00Z,RETEST_EXPIRED,2023-11-01T12:10:00Z,,1980.95,False,False,INITIAL_CONFIRMATION_STOP,060d42551d3c2c0ddf8cfccc42bbc6f21866c35787a5de01d74d28c58df81de3,8f8d7d601032afa1c50ea790073f4500427ecca124d5f8a46c3cd25fe45de106,1975.25,,,,CONTROL_V2_FILLED_STOP,False,,2023-11-01T11:55:00Z,1975.25,2007.89,5f0346a9080578abc782daa06b56e4228504a3b5ccc79fbd9b4256bbc39aeaea
00d7c31d94c9cfbb321a42133f17e705b870ded381003b6ee86a3c780e398e2c,1980.95,2023-11-01T11:55:00Z,fa7e8088e2126e5f548aca5eb68e309a9a5b08ac9f035e2143eb3cd70277d7da,2023-11-01T11:55:00Z,1982.04,1975.25,2023-12-01T00:00:00Z,2023-11-01T10:00:00Z,0.75,LONG,0.6968598779718115,-12.5,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,2023-11-01T11:55:00Z,CONFIRMED_25_75_RETEST_SPLIT,1982.04,True,0d788de5871fcaae064dbb8b4667fb0b50db503fb19cc115f81d5f7f92dc1813,0.2779140594926288,0.527297017820617,2023_11,-0.25,-1.0,STOP,2023-11-01T19:37:00Z,SPLIT_CONTROL_STOP_NO_RETEST,961664833b52138a24d2f3fba792aca8d6fdd000154ae4c2490650bc1cba1788,2023-11-01T19:21:00Z,RETEST_EXPIRED,2023-11-01T12:10:00Z,,1980.95,False,False,INITIAL_CONFIRMATION_STOP,adeddf178a3a8cd0bfb4380473fdd9c9d6e7610947bc0b326586273b28edb4b1,8f8d7d601032afa1c50ea790073f4500427ecca124d5f8a46c3cd25fe45de106,1977.3083214285714,1.2335714285714272,0.06167857142857136,,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,True,0724e1dd9d76318a237ad1d3edfe86df4444bb8abd68b57123cf2d773d072411,2023-11-01T11:35:00Z,1977.37,2007.89,5f0346a9080578abc782daa06b56e4228504a3b5ccc79fbd9b4256bbc39aeaea
