month,label,entry_policy,stop_policy,delta_vs_control_r,dollars_at_50_max_case_risk,expectancy_per_filled_case_r,expectancy_per_population_case_r,filled_cases,flat_cases,gross_negative_r,gross_positive_r,losing_cases,maximum_drawdown_r,median_stop_distance_ratio_to_control,net_r,no_fill_cases,original_positive_cases,original_positive_converted_to_loss,original_positive_retained,original_positive_unfilled,population,profit_factor,retest_filled_cases,retest_opportunity_cases,stop_disposition_cases,stop_fallbacks,stop_replacements,target_disposition_cases,time_exit_disposition_cases,win_rate_filled,winning_cases,outcome_counts_json
2022_06,June 2022,CONTROL_NEXT_M1_OPEN,CONTROL_V2_FILLED_STOP,0.0,439.4474308858572,0.13950712091614514,0.13950712091614514,63,0,-29.0,37.788948617717146,29,4.0,1.0,8.788948617717145,0,34,0,34,0,63,1.3030671937143843,0,37,29,0,0,34,0,0.5396825396825397,34,"{""STOP"":29,""TARGET"":34}"
2022_06,June 2022,CONTROL_NEXT_M1_OPEN,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,2.3179928402843455,555.3470729000745,0.17630065806351572,0.17630065806351572,63,0,-41.0,52.106941458001494,41,13.669860868856635,0.4606175228711941,11.10694145800149,0,34,12,22,0,63,1.2709010111707681,0,37,41,4,59,22,0,0.3492063492063492,22,"{""STOP"":41,""TARGET"":22}"
2022_06,June 2022,CONTROL_NEXT_M1_OPEN,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,-9.666274851624664,-43.86631169537597,-0.013925813236627293,-0.013925813236627293,63,0,-36.0,35.122673766092475,36,8.887581769513671,0.7531611969112028,-0.8773262339075194,0,34,7,27,0,63,0.975629826835902,0,37,36,14,49,27,0,0.42857142857142855,27,"{""STOP"":36,""TARGET"":27}"
2022_06,June 2022,CONTROL_NEXT_M1_OPEN,H1_SOURCE_SWING_BUFFERED_ELSE_CONTROL,9.619823646993348,920.4386132355246,0.292202734360484,0.292202734360484,63,0,-29.0,47.40877226471048,29,4.0,1.0,18.408772264710493,0,34,0,34,0,63,1.634785250507258,0,37,29,57,6,34,0,0.5396825396825397,34,"{""STOP"":29,""TARGET"":34}"
2022_06,June 2022,M5_BROKEN_CONTROL_FIRST_RETEST,CONTROL_V2_FILLED_STOP,-14.08269973633752,-264.6875559310188,-0.14307435455730746,-0.08402779553365676,37,26,-22.0,16.706248881379626,22,8.0,1.0,-5.293751118620376,26,34,0,15,19,63,0.7593749491536194,37,37,22,0,0,15,0,0.40540540540540543,15,"{""NO_FILL"":26,""STOP"":22,""TARGET"":15}"
2022_06,June 2022,M5_BROKEN_CONTROL_FIRST_RETEST,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,-16.103915184553237,-365.74832834180467,-0.19770179910367822,-0.11611058042596974,37,26,-30.0,22.685033433163905,30,13.825386781865104,0.4606175228711941,-7.314966566836094,26,34,8,7,19,63,0.7561677811054636,37,37,30,4,59,7,0,0.1891891891891892,7,"{""NO_FILL"":26,""STOP"":30,""TARGET"":7}"
2022_06,June 2022,M5_BROKEN_CONTROL_FIRST_RETEST,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,-18.557140213006416,-488.4095797644636,-0.2640051782510614,-0.15505066024268685,37,26,-25.0,15.23180840471073,25,13.121253232291734,0.7531611969112028,-9.768191595289272,26,34,3,12,19,63,0.6092723361884292,37,37,25,14,49,12,0,0.32432432432432434,12,"{""NO_FILL"":26,""STOP"":25,""TARGET"":12}"
2022_06,June 2022,M5_BROKEN_CONTROL_FIRST_RETEST,H1_SOURCE_SWING_BUFFERED_ELSE_CONTROL,-6.793075899755483,99.79363589808307,0.05394250589085571,0.03168051933272478,37,26,-22.0,23.995872717961657,22,8.0,1.0,1.9958727179616613,26,34,0,15,19,63,1.0907214871800752,37,37,22,57,6,15,0,0.40540540540540543,15,"{""NO_FILL"":26,""STOP"":22,""TARGET"":15}"
2022_06,June 2022,CONFIRMED_25_75_RETEST_SPLIT,CONTROL_V2_FILLED_STOP,-10.56202480225314,-88.65380922679978,-0.028144066421206277,-0.028144066421206277,63,0,-23.75,21.976923815464005,29,5.759895771956055,1.0,-1.7730761845359955,0,34,0,34,0,63,0.925344160651116,37,37,29,0,0,34,0,0.5396825396825397,34,"{""SPLIT_CONTROL_STOP_NO_RETEST"":7,""SPLIT_CONTROL_TARGET_NO_RETEST"":19,""SPLIT_STOP_STOP"":22,""SPLIT_TARGET_TARGET"":15}"
2022_06,June 2022,CONFIRMED_25_75_RETEST_SPLIT,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,-11.498438178343843,-135.47447803133497,-0.043007770803598404,-0.043007770803598404,63,0,-32.75,30.040510439373296,41,13.786505303612987,0.4606175228711941,-2.7094895606266993,0,34,12,22,0,63,0.917267494332009,37,37,41,4,59,22,0,0.3492063492063492,22,"{""SPLIT_CONTROL_STOP_NO_RETEST"":11,""SPLIT_CONTROL_TARGET_NO_RETEST"":15,""SPLIT_STOP_STOP"":30,""SPLIT_TARGET_TARGET"":7}"
