trade_identity,pivot_at,decision_at,direction,control_outcome,control_r,executed,route,entry_at,entry_price,stop,target,outcome,resolution_at,net_r,evidence_segment
2889ee93390d4ce5d7a4d51737030d82dd6b212c61b4444698d70289d34a668e,2022-04-01T03:00:00Z,2022-04-01T06:00:00Z,LONG,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-04-01T06:50:00Z,1937.49,1932.48,1949.77,STOP,2022-04-01T09:55:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
6ca26c44710657c938be3c2fd0353eb1d3c190f8250fde59cec5662c47b99473,2022-04-01T10:00:00Z,2022-04-01T13:00:00Z,LONG,STOP,-1.0,False,NO_TRADE_H1_CLOSE_INVALIDATED,,,,1939.52,,,0.0,EXPOSED_HISTORICAL_REGRESSION
abd1b2da639e682c3c30fd053df0c74a355bbc46f1ca5d98a82349138a410609,2022-04-01T17:00:00Z,2022-04-01T20:00:00Z,LONG,STOP,-1.0,True,RECLAIM_CONFIRMATION_STOP,2022-04-01T21:05:00Z,1923.13,1918.05,1936.42,STOP,2022-04-04T07:14:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
ef967cbde3f79ac86e4396680260293657e1d0dd90d7a26c16671839acc7ad9c,2022-04-01T20:00:00Z,2022-04-01T23:00:00Z,LONG,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-04-04T03:15:00Z,1925.82,1918.07,1936.42,STOP,2022-04-04T07:14:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
28a43034b1bf0f655056c946ed7dcf162f0014ca75d530129d0c0bd367148ec1,2022-04-04T03:00:00Z,2022-04-04T06:00:00Z,SHORT,TARGET,0.15546772068512205,False,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,,,1918.07,,,0.0,EXPOSED_HISTORICAL_REGRESSION
1249576e29e0ecfc495dfe1cbf96646ee53af0760d03b89469ffa31194087c8d,2022-04-04T11:00:00Z,2022-04-04T14:00:00Z,SHORT,STOP,-1.0,True,RECLAIM_CONFIRMATION_STOP,2022-04-04T16:55:00Z,1929.31,1936.92,1915.55,STOP,2022-04-05T16:23:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
f209d89bae0e1f2e932b69a1410e96f524881d948df271580f447e7e1f382d55,2022-04-04T13:00:00Z,2022-04-04T16:00:00Z,LONG,TARGET,0.22847682119202617,False,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,,,1933.02,,,0.0,EXPOSED_HISTORICAL_REGRESSION
6886852f5a9c69b4ac1b5f5fb302eb5dda05ef16b2ab21519bdd97ffc110f360,2022-04-04T16:00:00Z,2022-04-04T19:00:00Z,SHORT,TARGET,2.5202492211838172,True,INITIAL_CONFIRMATION_TARGET,2022-04-04T20:05:00Z,1929.84,1936.9,1925.6,TARGET,2022-04-05T11:06:00Z,0.600566572237947,EXPOSED_HISTORICAL_REGRESSION
9999ed53859c7c5b9321ea230e487be8452dd1a3e7509eee5709d019ae67b731,2022-04-04T17:00:00Z,2022-04-04T20:00:00Z,LONG,STOP,-1.0,True,RECLAIM_CONFIRMATION_TARGET,2022-04-05T16:05:00Z,1934.56,1924.1200000000001,1936.9,TARGET,2022-04-05T16:23:00Z,0.22413793103450041,EXPOSED_HISTORICAL_REGRESSION
7960f2198811323e04073e1160d79e27ed56ada1a1ea7d4ba526b7cde6cca0bc,2022-04-04T20:00:00Z,2022-04-04T23:00:00Z,LONG,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-04-04T23:40:00Z,1933.07,1928.79,1936.9,STOP,2022-04-05T05:13:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
b7ed9362c51d0f7ec3c70554e4a5ff30336e7bfecab70fefeefea8b1178b9056,2022-04-05T02:00:00Z,2022-04-05T05:00:00Z,SHORT,TARGET,0.4354354354354586,True,INITIAL_CONFIRMATION_TARGET,2022-04-05T05:10:00Z,1929.43,1933.57,1928.79,TARGET,2022-04-05T05:13:00Z,0.15458937198070524,EXPOSED_HISTORICAL_REGRESSION
7805e6bacffb98dc9b294abc1e2f2d8c852d2b185d89b609cd2b9a64980b7fb7,2022-04-05T07:00:00Z,2022-04-05T10:00:00Z,LONG,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-04-05T10:05:00Z,1932.74,1926.56,1933.57,STOP,2022-04-05T10:57:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
0bed160ff77b5706c9c1b0dfa2c90a1c6d7b892e2bff58714a93c1655211d33c,2022-04-05T09:00:00Z,2022-04-05T12:00:00Z,SHORT,TARGET,2.8406593406594802,False,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,,,1926.56,,,0.0,EXPOSED_HISTORICAL_REGRESSION
39905ab79e0cf923f8972059a6ac22e98f9e5b0b23957b597850e2775b64980f,2022-04-05T11:00:00Z,2022-04-05T14:00:00Z,LONG,STOP,-1.0,False,NO_TRADE_TARGET_BEFORE_H1_REVIEW,,,,1933.55,,,0.0,EXPOSED_HISTORICAL_REGRESSION
72f4340d5df628f1418695a19629eb3e420f145ff69cfa0be2a3c6c572c74fa8,2022-04-05T15:00:00Z,2022-04-05T18:00:00Z,LONG,STOP,-1.0,False,NO_TRADE_H1_CLOSE_INVALIDATED,,,,1933.55,,,0.0,EXPOSED_HISTORICAL_REGRESSION
22128accd7a0eb9c5dc565a2377a9952a84f9667bb68e52ae159810bb8fbad7f,2022-04-05T19:00:00Z,2022-04-05T22:00:00Z,LONG,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-04-05T22:40:00Z,1924.5,1918.02,1944.59,STOP,2022-04-06T03:56:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
088d2615da841e74017b5e2882e87b95f68fe7ec1bca6c34308c7739da0e0b8c,2022-04-06T04:00:00Z,2022-04-06T07:00:00Z,LONG,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-04-06T08:40:00Z,1924.15,1916.63,1944.59,STOP,2022-04-06T10:12:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
3638a934badd33a1518d7c75280c1d9c97b38cca6837e3a0ca6eab028fc7c8e3,2022-04-06T05:00:00Z,2022-04-06T08:00:00Z,SHORT,TARGET,1.4134078212290637,True,INITIAL_CONFIRMATION_TARGET,2022-04-06T09:05:00Z,1919.59,1925.27,1916.63,TARGET,2022-04-06T10:12:00Z,0.5211267605633408,EXPOSED_HISTORICAL_REGRESSION
