trade_identity,pivot_at,decision_at,direction,control_outcome,control_r,executed,route,entry_at,entry_price,stop,target,outcome,resolution_at,net_r,evidence_segment
6a8a0cb97b34e260e95e0ad467b29d8e516f761ccab7437cf95c07cf77d71d5e,2022-03-01T04:00:00Z,2022-03-01T07:00:00Z,LONG,TARGET,1.100961538461614,True,INITIAL_CONFIRMATION_TARGET,2022-03-01T07:55:00Z,1907.58,1901.42,1910.16,TARGET,2022-03-01T10:11:00Z,0.4188311688312038,EXPOSED_HISTORICAL_REGRESSION
601d5ba9e7f901a4ba29c844e1af710136110b699e7c28f83486781c0e7f53b9,2022-03-01T13:00:00Z,2022-03-01T16:00:00Z,SHORT,STOP,-1.0,False,NO_TRADE_LATER_H1_INVALIDATED,,,,1901.42,,,0.0,EXPOSED_HISTORICAL_REGRESSION
f26293bcb7fac36a478d198c807febb12d50f0b0af9fe07629f1c2faf0494fb1,2022-03-01T14:00:00Z,2022-03-01T17:00:00Z,LONG,TARGET,0.17310664605873258,True,INITIAL_CONFIRMATION_TARGET,2022-03-01T17:05:00Z,1923.88,1911.12,1926.3,TARGET,2022-03-01T17:44:00Z,0.18965517241377775,EXPOSED_HISTORICAL_REGRESSION
c2a7445e918fd64d2e2c349af8f5c405fb426a52d89ccf98fd2ba5dc81cf1f5d,2022-03-01T22:00:00Z,2022-03-02T04:00:00Z,SHORT,STOP,-1.0,True,RECLAIM_CONFIRMATION_STOP,2022-03-02T10:25:00Z,1937.2,1947.96,1911.12,STOP,2022-03-04T02:37:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
a2d726136d0efa18590a836069071e72228018568d6b40694a4814ae2171382b,2022-03-02T03:00:00Z,2022-03-02T06:00:00Z,LONG,TARGET,2.252118644067807,True,INITIAL_CONFIRMATION_TARGET,2022-03-02T06:15:00Z,1937.14,1931.06,1946.41,TARGET,2022-03-02T09:49:00Z,1.5246710526315372,EXPOSED_HISTORICAL_REGRESSION
5aa4ce75d44bc3775043e664e532f8f72f4dff2ae0e7eb01dea1767747724788,2022-03-02T08:00:00Z,2022-03-02T11:00:00Z,LONG,STOP,-1.0,False,NO_TRADE_LATER_H1_INVALIDATED,,,,1946.41,,,0.0,EXPOSED_HISTORICAL_REGRESSION
3d4b00ee799d80c579c748194542b2d239ad86e110e273cc2114280fbb58cb1f,2022-03-02T09:00:00Z,2022-03-02T12:00:00Z,SHORT,TARGET,0.07810413885180717,False,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,,,1931.79,,,0.0,EXPOSED_HISTORICAL_REGRESSION
d6d2a32d4bf5955d40cc4e2dc305991f99313774abf4aa8a93687b9c30403401,2022-03-02T12:00:00Z,2022-03-02T15:00:00Z,LONG,TARGET,1.744783306581055,True,INITIAL_CONFIRMATION_TARGET,2022-03-02T15:05:00Z,1930.29,1913.74,1947.94,TARGET,2022-03-04T02:37:00Z,1.0664652567975914,EXPOSED_HISTORICAL_REGRESSION
e6928e9636b8a378bd6b30088df475182982a70a688b3939ef6b9888f6c51efa,2022-03-02T17:00:00Z,2022-03-02T20:00:00Z,SHORT,STOP,-1.0,True,RECLAIM_CONFIRMATION_STOP,2022-03-03T14:05:00Z,1933.72,1938.75,1913.74,STOP,2022-03-03T22:18:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
fc94f233ec7b54300b746d564563911d1ff235a618b8af51dee8ce312e7391d2,2022-03-02T19:00:00Z,2022-03-02T22:00:00Z,LONG,TARGET,0.5872405841660168,True,INITIAL_CONFIRMATION_TARGET,2022-03-02T22:05:00Z,1929.34,1914.92,1935.57,TARGET,2022-03-03T13:03:00Z,0.4320388349514622,EXPOSED_HISTORICAL_REGRESSION
1294353bca92a2aaaf1c86e54391f9a5bc0bdb27c1635c4f45055d47d2e2db7a,2022-03-02T22:00:00Z,2022-03-03T04:00:00Z,SHORT,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-03-03T04:50:00Z,1927.99,1933.25,1914.92,STOP,2022-03-03T10:01:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
faf45fc7b8523eb5001cdfc28d188022b16861dc82a6fe8cb25f605c9dde7c98,2022-03-03T04:00:00Z,2022-03-03T07:00:00Z,SHORT,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-03-03T07:10:00Z,1922.36,1930.84,1914.92,STOP,2022-03-03T09:52:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
8de1a6589e5ecf68995184c7ab8939725b8b56a96bc5cf4130603c20ac3020b7,2022-03-03T13:00:00Z,2022-03-03T16:00:00Z,SHORT,TARGET,0.18650793650794867,True,INITIAL_CONFIRMATION_TARGET,2022-03-03T16:05:00Z,1926.81,1938.73,1923.78,TARGET,2022-03-03T18:21:00Z,0.2541946308724794,EXPOSED_HISTORICAL_REGRESSION
4b8074c93972fed45a14e38e4106dcd682198e444afd7e73d1eb72556b0fad0f,2022-03-03T15:00:00Z,2022-03-03T18:00:00Z,LONG,STOP,-1.0,True,RECLAIM_CONFIRMATION_TARGET,2022-03-03T19:05:00Z,1930.21,1923.33,1938.73,TARGET,2022-03-03T22:18:00Z,1.2383720930232336,EXPOSED_HISTORICAL_REGRESSION
b48d2a0c993c50d2644815ee77c07c1fe3ed9d56b1469c800e3fc7891c525167,2022-03-03T18:00:00Z,2022-03-03T21:00:00Z,LONG,TARGET,0.43604108309991196,True,INITIAL_CONFIRMATION_TARGET,2022-03-03T21:05:00Z,1935.26,1923.35,1938.73,TARGET,2022-03-03T22:18:00Z,0.2913518052057098,EXPOSED_HISTORICAL_REGRESSION
51f417f84019cefbbdccc97c2c3285c093e8aebcb080a72ce48527300bad14bf,2022-03-04T02:00:00Z,2022-03-04T05:00:00Z,SHORT,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-03-04T08:00:00Z,1935.59,1950.85,1923.35,STOP,2022-03-04T16:29:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
bdc6f5562368c4a29e783bb2cade3715e14b09ef1dd5c010ace68fb42567c552,2022-03-04T03:00:00Z,2022-03-04T06:00:00Z,LONG,TARGET,1.1534552845528458,True,INITIAL_CONFIRMATION_TARGET,2022-03-04T11:15:00Z,1941.49,1929.66,1950.85,TARGET,2022-03-04T16:29:00Z,0.7912087912087876,EXPOSED_HISTORICAL_REGRESSION
