trade_identity,pivot_at,decision_at,direction,control_outcome,control_r,executed,route,entry_at,entry_price,stop,target,outcome,resolution_at,net_r,evidence_segment
668c596078ab02e8b8ce443d2702d85fd9a0dfae3609a97b9124579e89ce1d5b,2022-05-02T08:00:00Z,2022-05-02T11:00:00Z,LONG,STOP,-1.0,False,NO_TRADE_H1_CLOSE_INVALIDATED,,,,1919.9,,,0.0,EXPOSED_HISTORICAL_REGRESSION
6e2c8a7878b89a27bdc31c340b21c1bcc51ecdc9d20154d9623e6eb628b92981,2022-05-02T16:00:00Z,2022-05-02T19:00:00Z,LONG,STOP,-1.0,False,NO_TRADE_LATER_H1_INVALIDATED,,,,1882.34,,,0.0,EXPOSED_HISTORICAL_REGRESSION
f1297efc72dbebbe80e2a5670cafc26b296ae64251e25f84814684a6ade90161,2022-05-02T18:00:00Z,2022-05-02T21:00:00Z,SHORT,TARGET,2.0034071550255894,True,INITIAL_CONFIRMATION_TARGET,2022-05-02T22:00:00Z,1860.0,1872.1,1854.47,TARGET,2022-05-03T10:07:00Z,0.45702479338843094,EXPOSED_HISTORICAL_REGRESSION
ba08d150e8bb0f51b99ba5a21c773de228db81d4a0234677d934e253e30dbc5e,2022-05-02T21:00:00Z,2022-05-03T03:00:00Z,LONG,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-05-03T03:10:00Z,1865.47,1859.96,1872.1,STOP,2022-05-03T04:42:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
88469e94aa96efd8259dd0ceecbab9f5349cf7728ca8502b280aa7a6b78fc172,2022-05-03T03:00:00Z,2022-05-03T06:00:00Z,SHORT,TARGET,2.8494623655915268,True,INITIAL_CONFIRMATION_TARGET,2022-05-03T07:45:00Z,1861.06,1867.12,1859.96,TARGET,2022-05-03T07:53:00Z,0.18151815181516814,EXPOSED_HISTORICAL_REGRESSION
4bd442c34df60480bc9ae3d4e548700b9bdece8b70d3348e59fa5b8b69c350d7,2022-05-03T04:00:00Z,2022-05-03T07:00:00Z,LONG,STOP,-1.0,False,NO_TRADE_H1_CLOSE_INVALIDATED,,,,1867.12,,,0.0,EXPOSED_HISTORICAL_REGRESSION
364e74d54eddc07b57f94c531f2c56152e12d19ecc00f61838658a17e71c8429,2022-05-03T11:00:00Z,2022-05-03T14:00:00Z,LONG,TARGET,1.0440636474908365,True,INITIAL_CONFIRMATION_TARGET,2022-05-03T14:35:00Z,1861.46,1850.42,1867.12,TARGET,2022-05-03T16:31:00Z,0.5126811594202784,EXPOSED_HISTORICAL_REGRESSION
683e3cf204f233d41063fdfa73c6a57f8a14f16099fdfbd076fcdbb06ed22a68,2022-05-03T17:00:00Z,2022-05-03T20:00:00Z,SHORT,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-05-03T21:15:00Z,1867.08,1878.13,1850.42,STOP,2022-05-04T21:46:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
d619d572e4940674ea9bf1ee69fd39ccd0daa69e4aae3546194ad1221374d5e1,2022-05-04T05:00:00Z,2022-05-04T08:00:00Z,LONG,STOP,-1.0,True,RECLAIM_CONFIRMATION_TARGET,2022-05-04T10:05:00Z,1867.93,1861.43,1878.13,TARGET,2022-05-04T21:46:00Z,1.5692307692307763,EXPOSED_HISTORICAL_REGRESSION
fa30d4f355243e28335d3609d4b28ca7196e5d23c7bd77dd87ce54222b46c08c,2022-05-04T09:00:00Z,2022-05-04T12:00:00Z,LONG,TARGET,1.3394109396914924,True,INITIAL_CONFIRMATION_TARGET,2022-05-04T13:05:00Z,1871.46,1861.45,1878.13,TARGET,2022-05-04T21:46:00Z,0.6663336663336742,EXPOSED_HISTORICAL_REGRESSION
